,id,sex,birthday,age,agegrp,acquire_kkh,acquire_kkh2,loss_kkh,loss_kkh2,vis_prob,vis_prob2,react_prob,priority,past1,past2,past3,past4,past5,qty,receipt,segment,rm
1163,354793,male,1951/8/13,67,65-69,2013/4/1,2013,,,0.436867025,0.4-0.44,0.105312053,1239.0,0.0,1.0,1.0,1.0,1.0,4.0,2,A,0
1164,1316,female,1950/9/2,68,65-69,2016/7/27,2016,,,0.4309503870000001,0.4-0.44,0.110429403,1240.0,0.0,1.0,1.0,1.0,0.0,3.0,0,C,0
1166,21194,female,1952/6/27,66,65-69,2014/4/1,2014,,,0.428224927,0.4-0.44,0.111145972,1243.0,0.0,1.0,0.0,1.0,0.0,2.0,0,D,0
1167,5231,female,1967/7/19,51,50-54,2013/12/1,2013,,,0.42903437,0.4-0.44,0.110088139,1244.0,1.0,0.0,0.0,0.0,0.0,1.0,1,A,0
1168,13011265,male,1962/9/20,56,55-59,2017/3/27,2017,,,0.428944967,0.4-0.44,0.11008381,1245.0,1.0,0.0,0.0,0.0,0.0,1.0,0,C,0
1171,26992,female,1951/7/3,67,65-69,2013/4/1,2013,,,0.437956516,0.4-0.44,0.097762966,1251.0,0.0,1.0,0.0,0.0,0.0,1.0,0,A,0
1173,29552,female,1954/6/16,64,60-64,2007/4/1,2007,,,0.424086927,0.4-0.44,0.109846924,1253.0,1.0,0.0,0.0,0.0,0.0,1.0,2,C,0
1174,1627,female,1948/7/13,70,65-69,2004/6/11,2004,,,0.4342698920000001,0.4-0.44,0.099071269,1254.0,1.0,0.0,0.0,0.0,1.0,2.0,0,A,0
1175,8640,female,1958/3/1,61,60-64,1981/2/1,1981,,,0.434842986,0.4-0.44,0.097543229,1255.0,0.0,1.0,0.0,0.0,0.0,1.0,1,D,0
1176,354800,female,1951/6/30,67,65-69,2013/4/1,2013,,,0.427605079,0.4-0.44,0.104755816,1256.0,0.0,1.0,1.0,1.0,1.0,4.0,2,D,0
1177,13016585,male,1974/1/14,45,40-44,2017/5/30,2017,,,0.422481152,0.4-0.44,0.109767909,1257.0,1.0,0.0,0.0,0.0,0.0,1.0,0,D,0
1180,45740,male,1974/8/29,44,40-44,2016/5/1,2016,,,0.421907678,0.4-0.44,0.109739604,1260.0,1.0,0.0,0.0,0.0,0.0,1.0,1,B,0
